rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
11	soft	render.enqueue_none	3ZOS		Controls/RDK not enqueued	1	2025-10-09 23:49:11	docked/3ZOS/protein.log	2025-10-09 23:49:11,696 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS/receptor/3ZOS_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
12	soft	render.enqueue_none	4RT7		Controls/RDK not enqueued	1	2025-10-09 23:49:10	docked/4RT7/protein.log	2025-10-09 23:49:10,636 - INFO - [render-enqueue] 4RT7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4RT7/receptor/4RT7_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4RT7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
13	soft	render.enqueue_none	4XUF		Controls/RDK not enqueued	1	2025-10-09 23:49:09	docked/4XUF/protein.log	2025-10-09 23:49:09,954 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF/receptor/4XUF_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
14	soft	render.enqueue_none	2WGJ		Controls/RDK not enqueued	1	2025-10-09 23:49:08	docked/2WGJ/protein.log	2025-10-09 23:49:08,615 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ/receptor/2WGJ_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
15	soft	render.enqueue_none	6JQR		Controls/RDK not enqueued	1	2025-10-09 23:49:05	docked/6JQR/protein.log	2025-10-09 23:49:05,079 - INFO - [render-enqueue] 6JQR bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6JQR/receptor/6JQR_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6JQR.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
16	soft	render.enqueue_none	4U5J		Controls/RDK not enqueued	1	2025-10-09 23:49:00	docked/4U5J/protein.log	2025-10-09 23:49:00,724 - INFO - [render-enqueue] 4U5J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/receptor/4U5J_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4U5J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
17	soft	render.enqueue_none	3ERT		Controls/RDK not enqueued	1	2025-10-09 23:48:45	docked/3ERT/protein.log	2025-10-09 23:48:45,939 - INFO - [render-enqueue] 3ERT bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ERT/receptor/3ERT_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ERT.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
18	soft	render.enqueue_none	2HYY		Controls/RDK not enqueued	1	2025-10-09 23:47:14	docked/2HYY/protein.log	2025-10-09 23:47:14,965 - INFO - [render-enqueue] 2HYY bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/receptor/2HYY_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2HYY.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
19	soft	render.enqueue_none	2HYY		Controls/RDK not enqueued	1	2025-10-09 23:47:14	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_234131.log	Docking (bench_pocket1_single):  78%|███████▊  | 7/9 [00:08<00:01,  1.05ligand/s][A2025-10-09 23:47:14,965 - INFO - [render-enqueue] 2HYY bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY/receptor/2HYY_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2HYY.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
20	soft	render.enqueue_none	3CS9		Controls/RDK not enqueued	1	2025-10-09 23:47:09	docked/3CS9/protein.log	2025-10-09 23:47:09,306 - INFO - [render-enqueue] 3CS9 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3CS9/receptor/3CS9_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3CS9.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
21	soft	render.enqueue_none	5L7I		Controls/RDK not enqueued	1	2025-10-09 23:46:55	docked/5L7I/protein.log	2025-10-09 23:46:55,630 - INFO - [render-enqueue] 5L7I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L7I/receptor/5L7I_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L7I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
22	soft	render.enqueue_none	5MO4		Controls/RDK not enqueued	1	2025-10-09 23:46:54	docked/5MO4/protein.log	2025-10-09 23:46:54,271 - INFO - [render-enqueue] 5MO4 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5MO4/receptor/5MO4_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5MO4.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
23	soft	render.enqueue_none	2GQG		Controls/RDK not enqueued	1	2025-10-09 23:46:52	docked/2GQG/protein.log	2025-10-09 23:46:52,775 - INFO - [render-enqueue] 2GQG bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/receptor/2GQG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2GQG.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
24	soft	render.enqueue_none	1T46		Controls/RDK not enqueued	1	2025-10-09 23:46:50	docked/1T46/protein.log	2025-10-09 23:46:50,597 - INFO - [render-enqueue] 1T46 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/1T46/receptor/1T46_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/1T46.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
25	soft	render.enqueue_none	3WZD		Controls/RDK not enqueued	1	2025-10-09 23:46:20	docked/3WZD/protein.log	2025-10-09 23:46:20,607 - INFO - [render-enqueue] 3WZD bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3WZD/receptor/3WZD_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3WZD.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
26	soft	render.enqueue_none	4AG8		Controls/RDK not enqueued	1	2025-10-09 23:46:19	docked/4AG8/protein.log	2025-10-09 23:46:19,537 - INFO - [render-enqueue] 4AG8 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4AG8/receptor/4AG8_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4AG8.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
27	soft	render.enqueue_none	4XV2		Controls/RDK not enqueued	1	2025-10-09 23:46:15	docked/4XV2/protein.log	2025-10-09 23:46:15,086 - INFO - [render-enqueue] 4XV2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/receptor/4XV2_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XV2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
28	soft	render.enqueue_none	4ASD		Controls/RDK not enqueued	1	2025-10-09 23:46:14	docked/4ASD/protein.log	2025-10-09 23:46:14,414 - INFO - [render-enqueue] 4ASD bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4ASD/receptor/4ASD_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4ASD.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
29	soft	render.enqueue_none	6O0K		Controls/RDK not enqueued	1	2025-10-09 23:45:59	docked/6O0K/protein.log	2025-10-09 23:45:59,019 - INFO - [render-enqueue] 6O0K bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0K/receptor/6O0K_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0K.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
30	soft	render.enqueue_none	3WZE		Controls/RDK not enqueued	1	2025-10-09 23:45:56	docked/3WZE/protein.log	2025-10-09 23:45:56,087 - INFO - [render-enqueue] 3WZE bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3WZE/receptor/3WZE_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3WZE.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
31	soft	render.enqueue_none	6O0L		Controls/RDK not enqueued	1	2025-10-09 23:45:50	docked/6O0L/protein.log	2025-10-09 23:45:50,782 - INFO - [render-enqueue] 6O0L bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L/receptor/6O0L_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0L.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
