pdb_id,variant,ph,engine,stage,stage_dir,ligand_file,posebusters_pass
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00007_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00008_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00009_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00010_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00011_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00012_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00013_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00014_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00015_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00016_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00017_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00018_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00019_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00020_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00021_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00022_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00023_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00024_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00025_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00026_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00027_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00028_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00029_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00030_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00031_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00032_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00033_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00034_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00035_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00036_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00037_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00038_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00039_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00040_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00041_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00042_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00043_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00044_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00045_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00046_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00047_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00048_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00049_gnina_stage1.sdf,False
EX4M,APO,pH7_0,gnina,stage1,gnina_stage1,decoys_final_00050_gnina_stage1.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,EX4M.sanitized_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,EX4M_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,KEU_A510.sanitized_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,KEU_A510_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,KEU_B610.sanitized_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,KEU_B610_stage3.sdf,False
EX4M,APO,pH7_0,vina,stage3,stage3,decoys_final_00016_stage3.sdf,False
EX4M,APO,pH7_0,ledock,stage2,ledock_stage2,actives_final_00004.sdf,False
EX4M,APO,pH7_0,ledock,stage2,ledock_stage2,decoys_final_00016.sdf,False
EX4M,APO,pH7_0,ledock,stage3,ledock_stage3,EX4M.sanitized.sdf,False
EX4M,APO,pH7_0,ledock,stage3,ledock_stage3,KEU_A510.sanitized.sdf,False
EX4M,APO,pH7_0,ledock,stage3,ledock_stage3,KEU_B610.sanitized.sdf,False
EX4M,APO,pH7_0,ledock,stage3,ledock_stage3,decoys_final_00016.sdf,False
EX4M,APO,pH7_0,vina,stage2,stage2,actives_final_00004_stage2.sdf,False
EX4M,APO,pH7_0,vina,stage2,stage2,decoys_final_00016_stage2.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00001.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00002.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00003.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00004.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,actives_final_00005.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00001.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00002.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00003.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00004.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00005.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00006.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00007.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00008.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00009.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00010.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00011.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00012.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00013.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00014.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00015.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00016.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00017.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00018.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00019.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00020.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00021.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00022.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00023.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00024.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00025.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00026.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00027.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00028.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00029.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00030.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00031.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00032.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00033.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00034.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00035.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00036.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00037.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00038.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00039.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00040.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00041.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00042.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00043.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00044.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00045.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00046.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00047.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00048.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00049.sdf,False
EX4M,APO,pH7_0,ledock,stage1,ledock_stage1,decoys_final_00050.sdf,False
