gene,pdb_id,resolution,method,nonpolymer_comp_ids,nontrivial_comp_ids,rank_score,rank_reason,forced_included,valid_entry
HTR2B,5TVN,2.900,X-RAY DIFFRACTION,7LD;CLR;OLC;PEG;PO4,7LD;CLR;OLC,67.800,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""forced"": true, ""ligand_component"": 21.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 3, ""polymer_entity_count"": 1, ""resolution"": 2.9, ""resolution_component"": 6.8, ""score"": 67.8, ""size_penalty"": 0.0}",true,true
HTR2B,7SRS,3.300,ELECTRON MICROSCOPY,NAG;7LD,NAG;7LD,45.600,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""forced"": true, ""ligand_component"": 19.0, ""method"": ""ELECTRON MICROSCOPY"", ""method_component"": 25.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 6, ""resolution"": 3.3, ""resolution_component"": 3.6, ""score"": 45.6, ""size_penalty"": 2.0}",true,true
DRD2,6CM4,2.867,X-RAY DIFFRACTION,8NU;PEG;OLA,8NU;OLA,66.064,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 2.867, ""resolution_component"": 7.064, ""score"": 66.064, ""size_penalty"": 0.0}",false,true
ADRB2,6PS2,2.400,X-RAY DIFFRACTION,JTZ;CLR;OLB;OLC;SO4;OLA,JTZ;CLR;OLB;OLC;OLA,73.800,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 23.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 5, ""polymer_entity_count"": 1, ""resolution"": 2.4, ""resolution_component"": 10.8, ""score"": 73.8, ""size_penalty"": 0.0}",false,true
ACE,6H5W,1.370,X-RAY DIFFRACTION,ZN;CL;FT8;IMD;BO3;P6G;EDO,FT8;IMD;BO3;P6G,82.040,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 23.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 4, ""polymer_entity_count"": 1, ""resolution"": 1.37, ""resolution_component"": 19.04, ""score"": 82.04, ""size_penalty"": 0.0}",false,true
HMGCR,2R4F,1.700,X-RAY DIFFRACTION,SO4;RIE,RIE,73.400,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.7, ""resolution_component"": 16.4, ""score"": 73.4, ""size_penalty"": 0.0}",false,true
ESR1,5KCT,1.600,X-RAY DIFFRACTION,OB7;OB6,OB7;OB6,76.200,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 2, ""resolution"": 1.6, ""resolution_component"": 17.2, ""score"": 76.2, ""size_penalty"": 0.0}",false,true
PGR,1SR7,1.460,X-RAY DIFFRACTION,MOF;SO4;GOL,MOF,75.320,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.46, ""resolution_component"": 18.32, ""score"": 75.32, ""size_penalty"": 0.0}",false,true
AR,7ZTZ,1.400,X-RAY DIFFRACTION,DHT;IMD;SO4,DHT;IMD,77.800,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 1.4, ""resolution_component"": 18.8, ""score"": 77.8, ""size_penalty"": 0.0}",false,true
PPARG,6MS7,1.430,X-RAY DIFFRACTION,V77,V77,75.560,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 2, ""resolution"": 1.43, ""resolution_component"": 18.56, ""score"": 75.56, ""size_penalty"": 0.0}",false,true
AKT1,4GV1,1.490,X-RAY DIFFRACTION,0XZ;GOL,0XZ,75.080,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.49, ""resolution_component"": 18.08, ""score"": 75.08, ""size_penalty"": 0.0}",false,true
BRAF,8C7Y,1.650,X-RAY DIFFRACTION,EDO;NO3;TXV,NO3;TXV,75.800,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 1.65, ""resolution_component"": 16.8, ""score"": 75.8, ""size_penalty"": 0.0}",false,true
KRAS,5F2E,1.400,X-RAY DIFFRACTION,MG;GOL;5UT;GLY;GDP,5UT;GLY;GDP,79.800,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 21.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 3, ""polymer_entity_count"": 1, ""resolution"": 1.4, ""resolution_component"": 18.8, ""score"": 79.8, ""size_penalty"": 0.0}",false,true
PIK3CA,9CMK,1.750,X-RAY DIFFRACTION,A1ATF;MG;MRD;MPD,A1ATF,71.500,"{""assembly_count"": 2, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.75, ""resolution_component"": 16.0, ""score"": 71.5, ""size_penalty"": 1.5}",false,true
MET,9T6K,1.133,X-RAY DIFFRACTION,A1JT6;15P;PEG,A1JT6;15P,79.936,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 19.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 2, ""polymer_entity_count"": 1, ""resolution"": 1.133, ""resolution_component"": 20.936, ""score"": 79.936, ""size_penalty"": 0.0}",false,true
ALK,4Z55,1.550,X-RAY DIFFRACTION,GOL;4LO,4LO,74.600,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.55, ""resolution_component"": 17.6, ""score"": 74.6, ""size_penalty"": 0.0}",false,true
FGFR1,5EW8,1.630,X-RAY DIFFRACTION,SO4;5SF,5SF,72.460,"{""assembly_count"": 2, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.63, ""resolution_component"": 16.96, ""score"": 72.46, ""size_penalty"": 1.5}",false,true
MTOR,4DRI,1.450,X-RAY DIFFRACTION,RAP,RAP,75.400,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 2, ""resolution"": 1.45, ""resolution_component"": 18.4, ""score"": 75.4, ""size_penalty"": 0.0}",false,true
PARP1,6NRH,1.500,X-RAY DIFFRACTION,KYP;SO4;DMS,KYP,75.000,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.5, ""resolution_component"": 18.0, ""score"": 75.0, ""size_penalty"": 0.0}",false,true
KDR,3VO3,1.520,X-RAY DIFFRACTION,0KF;EDO,0KF,74.840,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.52, ""resolution_component"": 17.84, ""score"": 74.84, ""size_penalty"": 0.0}",false,true
JAK1,6N7A,1.330,X-RAY DIFFRACTION,GOL;KEV,KEV,74.860,"{""assembly_count"": 2, ""co_crystallized_ligand"": true, ""ligand_component"": 17.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 1, ""polymer_entity_count"": 1, ""resolution"": 1.33, ""resolution_component"": 19.36, ""score"": 74.86, ""size_penalty"": 1.5}",false,true
BTK,7N5O,1.250,X-RAY DIFFRACTION,IMD;PGO;0BQ;EDO,IMD;PGO;0BQ,81.000,"{""assembly_count"": 1, ""co_crystallized_ligand"": true, ""ligand_component"": 21.0, ""method"": ""X-RAY DIFFRACTION"", ""method_component"": 40.0, ""nonprotein_penalty"": 0.0, ""nonprotein_polymer_count"": 0, ""nontrivial_ligand_count"": 3, ""polymer_entity_count"": 1, ""resolution"": 1.25, ""resolution_component"": 20.0, ""score"": 81.0, ""size_penalty"": 0.0}",false,true
