gene,pdb_id,mode,method,install_status,nontrivial_comp_ids
GHSR,7F83,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLC;1KQ
GIPR,2QKH,holo_strict,X-RAY DIFFRACTION,holo_downloaded,TAR
GRIN1,5H8F,holo_strict,X-RAY DIFFRACTION,holo_downloaded,GLU
HCAR2,7ZL9,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLA;OLC;UNX
HRH1,9LRB,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,HSM
HRH2,8YN3,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,HSM;CLR
HRH3,7F61,holo_strict,X-RAY DIFFRACTION,holo_downloaded,1IB;CLR
HTR1A,7E2X,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,J40;CLR;PLM
HTR2A,6A93,holo_strict,X-RAY DIFFRACTION,holo_downloaded,8NU;CLR;1PE;PLM
HTR2B,4IB4,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ERM;PLM;CLR;OLC;OLB;OLA
HTR2C,6BQG,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ERM;OLC
HTR3A,8AXD,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
HTR5A,7UM4,holo_strict,X-RAY DIFFRACTION,holo_downloaded,1PE;NN6
HTR6,7YS6,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,SRO
HTR7,7XTC,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,8K3;CLR
KCNH2,1UJL,apo_fallback,SOLUTION NMR,apo_downloaded,
KDR,1YWN,holo_strict,X-RAY DIFFRACTION,holo_downloaded,LIF
MC3R,8KIG,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
MC4R,6W25,holo_strict,X-RAY DIFFRACTION,holo_downloaded,OLA
NPY1R,5ZBQ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,9AO
NPY2R,7DDZ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,H46;FMN
NR1H2,3KFC,holo_strict,X-RAY DIFFRACTION,holo_downloaded,61X
NR1H3,3IPQ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,965
NR1H4,1OSH,holo_strict,X-RAY DIFFRACTION,holo_downloaded,FEX
NR1I2,1SKX,holo_strict,X-RAY DIFFRACTION,holo_downloaded,RFP
NR1I3,1XVP,holo_strict,X-RAY DIFFRACTION,holo_downloaded,F15;CID
NR3C1,3BQD,holo_strict,X-RAY DIFFRACTION,holo_downloaded,DAY
NTSR1,7UL2,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,Q6Q
OPRD1,8F7S,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CLR;PLM
OPRK1,6B73,holo_strict,X-RAY DIFFRACTION,holo_downloaded,CVV;CLR;OLA
OPRM1,9WST,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
PDE3A,7KWE,holo_strict,X-RAY DIFFRACTION,holo_downloaded,X5M
PDE4A,2QYK,holo_strict,X-RAY DIFFRACTION,holo_downloaded,NPV
PDE4D,1Q9M,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ROL
PGR,3G8O,holo_strict,X-RAY DIFFRACTION,holo_downloaded,30X
PPARA,2P54,holo_strict,X-RAY DIFFRACTION,holo_downloaded,735
PPARG,1KNU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,YPA
PTGS2,5F19,holo_strict,X-RAY DIFFRACTION,holo_downloaded,COH;AKR;BOG
RARA,3A9E,holo_strict,X-RAY DIFFRACTION,holo_downloaded,754;REA
RARB,4DM6,holo_strict,X-RAY DIFFRACTION,holo_downloaded,TTB
RARG,5M24,holo_strict,X-RAY DIFFRACTION,holo_downloaded,9CR;LMU
SCN5A,4DJC,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,
SLC18A2,8JSW,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,SRO
SLC6A2,8HFE,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
SLC6A3,8VBY,holo_strict,ELECTRON MICROSCOPY,failed_404,42L;A1AAF;Y01;D10;LNK;HP6;D12;MYS;OCT
SLC6A4,5I6X,holo_strict,X-RAY DIFFRACTION,holo_downloaded,CLR;LMT;8PR
TACR1,6J20,holo_strict,X-RAY DIFFRACTION,holo_downloaded,GBQ
TACR2,7XWO,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,
TBXA2R,6IIU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,A8X;CLR;OLC
